Region,Site,Latitude,Longitude,Date,Method,ID,Sex,Age_class,Mass,Culmen,Tarsus,Wing_length
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715055,Male,After Hatch Year,1193,33.32,41.45,242
South BC,Indian Arm,49.44361,-122.87911,2011-04-07,Capture,154711976,Male,After Hatch Year,1130,35.15,40.17,243
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711973,Male,After Hatch Year,1155,33.82,41.17,244
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715051,Male,After Hatch Year,1196,35.37,41.72,244
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715033,Male,After Hatch Year,1265,34.68,42.41,244
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711968,Male,After Hatch Year,1144,34.78,40.01,247
Southeast AK,Juneau,58.25699,-134.32143,2012-04-07,Capture,176721804,Female,Hatch Year,649,30.47,35.22,204
Southeast AK,Juneau,58.25699,-134.32143,2012-04-07,Capture,176721805,Female,Hatch Year,660,31.52,34.31,205
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721837,Female,Hatch Year,736,30.44,36,207
Southeast AK,Juneau,58.24651,-134.33572,2012-04-07,Capture,176721808,Female,After Hatch Year,713,30.31,36.68,210
Southeast AK,Juneau,58.24651,-134.33572,2012-04-07,Capture,176721809,Female,Hatch Year,683,31.1,37,212
Southeast AK,Juneau,58.23174,-134.30043,2012-04-15,Capture,176721842,Female,After Hatch Year,858,29.3,34.18,214
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721836,Female,After Hatch Year,731,29,35.75,214
Southeast AK,Juneau,58.30148,-134.68385,2012-04-08,Capture,176721821,Female,After Hatch Year,752,30.8,35.83,215
Southeast AK,Juneau,58.25938,-134.35732,2012-04-17,Capture,176721843,Female,After Hatch Year,758,31.41,36.5,215
Southeast AK,Juneau,58.24651,-134.33572,2012-04-07,Capture,176721807,Female,After Hatch Year,766,31.8,37.32,215
Southeast AK,Juneau,58.30148,-134.68385,2012-04-12,Capture,176721839,Female,After Hatch Year,796,29.58,34.98,218
Southeast AK,Juneau,58.23174,-134.30043,2012-04-15,Capture,176721841,Female,After Hatch Year,808,31.3,36.5,220
Southeast AK,Juneau,58.22058,-134.49101,2012-04-18,Capture,176721845,Female,After Hatch Year,823,31.58,37.4,220
Southeast AK,Juneau,58.24651,-134.33572,2012-04-09,Capture,176721831,Male,Hatch Year,858,34.28,39.92,220
Southeast AK,Juneau,58.23174,-134.30043,2012-04-10,Capture,176721832,Female,After Hatch Year,793,30.3,36.32,222
